count,track_name,timing,track_id,artist,album,acousticness,danceability,instrumentalness,liveness,loudness,tempo
183,I’m Tired (with Zendaya) - Bonus Track,0,30XBkzzcubUJLANeXM4D0C,Labrinth,EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),0.651,0.375,0,0.0695,-10.624,131.721
184,right where you left me - bonus track,1,3zwMVvkBe2qIKDObWgXw4N,Taylor Swift,evermore (deluxe version),0.769,0.581,0.000106,0.117,-6.524,137.915
185,Happiness is a butterfly,0,3lG6OtGDsYAOALxEmubQQm,Lana Del Rey,Norman Fucking Rockwell!,0.969,0.467,1.40E-06,0.0973,-10.99,70.499
186,idontwannabeyouanymore,0,41zXlQxzTi6cGAjpOXyLYH,Billie Eilish,dont smile at me,0.737,0.483,0,0.116,-8.461,170.163
187,Daydreamer,1,3FYqKyAKIB4mCygIFc1IYn,Adele,19,0.964,0.807,0,0.103,-13.188,109.014
188,What A Time (feat. Niall Horan),1,5WtfUKzXircvW8l5aaVZWT,Julia Michaels,Inner Monologue Part 1,0.662,0.516,0,0.0853,-6.184,132.861
189,Until I Found You,1,6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Easy On My Eyes,0.757,0.346,0,0.189,-6.097,202.466
190,Don’t Blame Me,1,1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,reputation,0.106,0.615,1.76E-05,0.0607,-6.719,135.917
191,Already Gone,0,5zCunX8URvLoBHlg1Fnjv6,Sleeping At Last,"Covers, Vol. 2",0.954,0.418,4.21E-06,0.108,-9.997,130.953
192,bellyache,1,51NFxnQvaosfDDutk0tams,Billie Eilish,Bellyache,0.46,0.695,0.0734,0.482,-8.597,99.939
193,Crazy For You,1,2L1zGWSV5udDZlW668nRtA,Adele,19,0.91,0.707,0,0.105,-12.3,85.868
194,My Mind & Me,1,0XER3HPMx223xWaAgNKp4Y,Selena Gomez,My Mind & Me,0.566,0.6,0,0.0826,-5.727,143.577
195,Sparks,0,7D0RhFcb3CrfPuTJ0obrod,Coldplay,Parachutes,0.748,0.371,0.0517,0.104,-10.506,102.617
196,Wonder,1,6ZuahEctZD6w75peme58hm,Shawn Mendes,Wonder,0.136,0.442,2.29E-05,0.133,-5.096,139.774
197,Part Of Me,1,1nZzRJbFvCEct3uzu04ZoL,Katy Perry,Teenage Dream: The Complete Confection,0.000417,0.678,0,0.0744,-4.63,130.028
198,Bored,0,04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,0.896,0.614,0.00239,0.0795,-12.695,119.959
199,Lonely,1,6U1iuA5QfzYRPJxvdcxqtf,Noah Cyrus,THE END OF EVERYTHING,0.798,0.53,0,0.0928,-8.274,122.442
200,People Watching,1,3TFoEJe5zNuHZStRboWPxg,Conan Gray,Superache,0.381,0.53,0,0.294,-7.281,125.721
201,Golden Cat,1,1zvls0maQeLYZyIJwynbD1,Above the Mex,Golden Cat,0.674,0.81,0.879,0.0908,-7.757,88.985
202,Not enough memories,1,2hEv9XOeDpFbiiNMUuB30I,Flat Ruy,Not enough memories,0.73,0.791,0.716,0.103,-14.422,83.078
203,The Girl From Ipanema,1,7e9oGz2KsjVkI1vRtfREAe,Jack Jezzro,Romance In Rio,0.916,0.754,0.861,0.0949,-17.652,105.023
204,Truly Another Classic,1,4Cesp17kIKOhUwQnqzdbG6,Glimlip,Twelve Chapters,0.811,0.674,0.912,0.13,-11.304,87.982
205,Caribs,1,77IvFp174yhWdvqwBYkphA,Screen Jazzmaster,Caribs,0.531,0.767,0.849,0.0931,-8.74,83
206,Cozy Mornings,1,677RVrYxRXzNXOJh82obdp,Cafe Nostalgia,Cozy Mornings,0.0924,0.636,0.937,0.159,-10.975,93.04
207,Roses,1,4sckDSgsxFlaUoUbExGK1n,Jordan Elgie,Roses,0.858,0.759,0.726,0.252,-7.608,88.191
208,My Blue Heaven,1,2o913EGUFcJT9mON171x4j,Dustin Hanusch,My Blue Heaven,0.988,0.604,0.902,0.107,-16.544,85.28
209,The Ecstasy Of Dancing Fleas - Remastered 2008,1,0SrJKLmxC624x3r9j2O374,Penguin Cafe Orchestra,Penguin Café Orchestra,0.877,0.721,0.918,0.103,-13.564,90.557
210,Corps & âme,1,1jAjuep6X63iC9tNs0N11D,Clem Beatz,Corps & âme,0.189,0.49,0.497,0.104,-8.024,95
211,Hotel Suite,1,0jAfegA8gxxJcyFMbDGeuk,Ben Jammin' Beats,Dapper,0.221,0.749,0.944,0.0697,-13.106,83.224
212,get up and go,1,0AmxMNsfzteEOvlMx3r5JU,DESH,get up and go,0.213,0.601,0.886,0.0885,-9.945,173.986
213,Love Never Felt So Good,1,2gKVHMOjh7AbnPltfAZvJA,Shin Giwon Piano,Pop Jazz #2 (Instrumental),0.869,0.707,0.85,0.114,-15.113,116.962
214,Alegria,1,0bFqHk62KePxyVjr7XBbuI,Cloudchord,Alegria,0.692,0.474,0.867,0.432,-9.938,73.84
215,Clouds,1,044aJ0e4iNxsKlfwFpcPI5,Cory Wong,Cory Wong and the Green Screen Band,0.197,0.505,0.906,0.116,-10.07,113.998
216,Chanterelle,1,6CA7xr4RNP5GTePH7B6k1n,The Dip,Won't Be Coming Back,0.138,0.73,0.933,0.0349,-5.917,107.273
217,Shaken Not Stirred,1,4DoUD7vEYRRwhrpim886UG,No Spirit,Symbiosis,0.251,0.707,0.799,0.125,-8.005,94.048
218,Humanism,1,1sEwDSLIhmE4QdVKYuJ4PA,Jon Batiste,The Late Show EP,0.0744,0.669,0.861,0.187,-4.725,116.319
219,Cosmic Echos,1,4HuigiKKmUOzZCLkJ7aZXJ,Lord Echo,Melodies,0.0149,0.721,0.658,0.0775,-10.32,110.009
220,Soul Walkin',1,5hyE6gW9Ko1cV1jnMDhwWW,U-Nam,"The Love Vault: Future Love, Pt. 2",0.101,0.669,0.455,0.0978,-7.197,96.043
221,From The Heart,1,2y49Z5bB6GSjMdUlmt35Cd,Dan Siegel,Along The Way: The Best Of Dan Siegel,0.509,0.764,0.893,0.0592,-8.967,119.642
222,Child's Play,1,4AKUeSw2wBCjZVxmUU5JwT,Theo Bishop,Newport Nights,0.295,0.731,0.811,0.193,-7.895,113.056
223,The Girl With a Plan,1,2fDLnfDTMiaGOX5NefWiUn,Acoustic Alchemy,Thirty Three and a Third,0.569,0.65,0.88,0.14,-11.62,96.513
224,Chasin' Kendall,1,4VUuE7ZoebplIFe7HvRnSO,Stefon Harris,Sonic Creed,0.793,0.743,0.801,0.102,-12.432,105.137
225,Turn Back Around,1,3TziwjLXuogwgy6BTl4V1a,iamalex,"Beats & Waves, Vol. 1",0.0679,0.733,0.868,0.304,-6.609,88.058
226,Angel Eyes (feat. Eric Harland & Matt Penman),1,3PXCAZj9WuQF9NsQh6sE1S,John Nazarenko Trio,Darn That Dream (feat. Eric Harland & Matt Penman),0.612,0.509,0.743,0.11,-14.795,121.93
227,Boogaloo Pow,1,1bhYSo8vmBwgq3n6Su3rcc,Cleon,Jaylis and Family,0.0351,0.804,0.866,0.16,-6.042,119.856
228,Shift,1,2FAOGnDgpm7JqlLGIZu7zr,Garth Stevenson,Voyage,0.64,0.665,0.944,0.118,-16.544,93.008
229,Minquiers,1,3fPjTevbs1gCDorMjymahc,Minihi,Recaptures,0.815,0.608,0.885,0.121,-12.773,98.967
230,Tumbling,1,387Vd8kBUNPLys6SVOTjIm,Clarence Reed,Endless,0.975,0.474,0.886,0.135,-19.425,79.978
231,Free as Can Be,1,7DyP2GLNXraWr4NT7ejfhu,Magnus Ringblom,Ambivalent Thoughts,0.462,0.616,0.942,0.284,-10.32,99.968
232,Cranberry Garden,1,2SwEEi5KvkPTmW2YNHKeBk,Peter Sandberg,Cranberry Garden,0.968,0.496,0.892,0.0865,-20.71,176.03
233,Flourishing Views,1,5KhrmGLLiJ6ouA2G4b60S1,Martin Gauffin,Flourishing Views,0.895,0.649,0.896,0.113,-17.803,135.013
234,Meadowlark,1,6rJtXHtsqmmhf7hREtv6w7,Paul Alan Morris,Meadowlark,0.888,0.462,0.259,0.144,-16.249,89.751
235,Amichevolmente Restare,1,6heAUouflwGdHCWckIfUR8,Martino Vergnaghi,Amichevolmente Restare,0.979,0.526,0.937,0.09,-17.058,62.105
236,English Garden,1,3Esa3QaNCDzr7x5yjIH58q,Jimmy Wahlsteen,Broadsides,0.799,0.664,0.82,0.143,-8.039,108.924
237,Turquoise Shell,1,3i0pSLBzYPBkFpIU9PPgrh,Mike Beating,Turquoise Shell,0.858,0.435,0.804,0.149,-14.799,179.843
238,Paper Bag,1,0feI2qZLlaapheeJeznYwZ,Frances The Mute,Paper Bag,0.959,0.834,0.937,0.114,-10.803,90.012
239,Up Up Away,1,6CqceOgk78dlboGgHsYxlD,Clarence Reed,Near Light,0.947,0.567,0.885,0.0766,-21.033,139.985
240,nightcap,1,56YXAsG8CaTI1XCaHlpLIw,calle de phnk,nightcap,0.699,0.746,0.65,0.143,-11.555,83.013
241,Hummingbird,1,0hs2c9NuhwK60vHOuoK8ls,Holly Jones,Hummingbird,0.986,0.452,0.915,0.0943,-19.019,118.885
242,Montego,1,3t3KBPlKEIxUtk3h0DNQJn,Toshdy,Montego,0.854,0.418,0.914,0.0988,-9.749,76.948
243,Vuela Con el Viento,1,3FeUfu0y2ZkG3pzCYkYZkh,Ayla Schafer,Dive into Water,0.86,0.677,9.93E-05,0.0936,-12.873,142.056
244,Poetic Wax,1,6ueWeJJyq1rMkdNitaL7a6,Dusty Decks,On the Keys of Steel,0.415,0.707,0.916,0.118,-7.686,193.982
245,Plume - Folk Guitar,1,0WQLQbXpyK87377L7WcZiB,Adrien de la Salle,Plume (Folk Guitar),0.891,0.522,0.85,0.0905,-15.52,131.85
246,Beautiful Day (Bonus Track),1,7MEzIneZFUiNWlwovA9HcZ,Aykanna,Livelight ~ Yoga & Meditation Music,0.713,0.828,0,0.0969,-5.868,117.921
247,Never Say No,1,2MEBBzfsWQwjqWDU8WzdT6,Clarence Reed,Now Rise,0.933,0.703,0.887,0.123,-17.253,165.029
248,Neptune,1,6tDepHpT6yyQzdYMyevyy4,Beauvois,Dimensions,0.752,0.475,0.0158,0.0868,-17.558,103.858
249,Horizon,1,4ymBwYo9npyadEnJDZxaJ0,Equanimous,Horizon,0.102,0.758,0.909,0.0838,-11.039,93.999
250,Thirty Two,1,4i1W0kFBlrvvyudKBUeJYi,UTAH,Long Play,0.279,0.671,0.915,0.324,-7.121,80.103
251,Boundless Spirit,1,2EvwrImexrRTYTGieKjOi9,DJ Taz Rashid,Road To Shambala,0.0174,0.569,0.826,0.131,-10.139,106.043
252,Samurai,1,2AXqiVRL9dhZ47IDPiGR6H,Mr OCB,Samurai,0.447,0.558,0.844,0.102,-9.879,116.28
253,Victory Within,1,5Xop7OCwvgbxFFFiVjmmTG,Ian Wong,Stories in Motion,0.993,0.464,0.928,0.115,-15.93,95.448
254,Springtime,1,6c8JApK6V5u1keEsStblBU,Vlad Gluschenko,Tropical Island,0.959,0.755,0.886,0.135,-15.665,119.94
255,Chillin',1,54G7nglEzYJdrIfCcur3El,Slacker Boy,From Above,0.483,0.729,0.408,0.237,-9.117,170.045
256,Waking up on a Picnic Blanket,1,1gl2SfbVdKKp2eoFOzRS5O,Lullatone,The Sounds of Spring - EP,0.915,0.636,0.653,0.111,-13.66,111.034
257,8888Hz Pure Positive Energy,1,3LPCemLrhyO0fN25CFaOIK,Emiliano Bruguera,8888Hz Powerful Meditation Frequency,0.795,0.174,0.957,0.0901,-13.378,72.626
258,Reminiscing,1,226lvTqQL26akUSpu69GXT,CMJ,Reminiscing,0.476,0.634,0.889,0.104,-18.844,80.011
259,BEACH WAVES,1,5kh6cDKfut5E1J8mP8dX0Y,Boshi,BEACH WAVES,0.934,0.604,0.935,0.108,-15.12,89.889
260,Coffee In The Park,1,1a0RkdnA19BiIz8m6aFdi4,Mister Decaf,Coffee In The Park,0.403,0.589,0.776,0.138,-8.81,170.314
261,Reverie,1,3yh1jVM8xk5JgWX9bDIOzS,TELL YOUR STORY music by Ikson™,Reverie,0.115,0.721,0.799,0.152,-13.811,125.003
262,love in the morning sun,1,6RWgGlkUfIb1DKR47S49T5,connor,love in the morning sun,0.253,0.578,0.702,0.401,-6.264,93.964
263,Sunu,1,2ZWiYlfME5IqOOI2ba5cWg,Rising Appalachia,Soul Visions,0.501,0.641,0.624,0.151,-7.61,97.918
264,Morning Roots,1,2yQkRX3wu6PWLDvq2tH4In,Guillaume Poncelet,88,0.962,0.192,0.881,0.103,-26.296,155.482
265,Borealis,0,5B0LwnnmQTNMW4KLPukmdN,Sofiane Pamart,BOREALIS,0.979,0.315,0.878,0.133,-20.977,68.216
266,Pigment - Parra for Cuva Piano Reinterpretation,1,4kdz93JHkbTjKhCp7jRFvz,Christian Löffler,Pigment,0.973,0.386,0.934,0.107,-25.558,124.386
267,Journey Among Worlds,1,17q37PWLk0twxFsUmImyxX,Niklas Paschburg,Oceanic,0.968,0.522,0.918,0.385,-16.387,90.02
268,"Hug, Run.",1,4iF99Vmhr7GkgV58twAtOn,Wouter Dewit,Still,0.792,0.49,0.775,0.293,-30.16,91.998
269,Water Falls,1,0TsOENhOWheb6jdJ8EF6Kh,René Aubry,Chaos,0.961,0.38,0.941,0.129,-13.807,179.847
270,AMS,1,5jECarJPSI4VOQ8o8eZLkR,Martin Kohlstedt,Strom,0.937,0.254,0.932,0.089,-20.612,78.607
271,Céline,1,0qQmpXN9H1psb6wFGDJ0cL,Federico Albanese,The Blue Hour,0.667,0.408,0.876,0.175,-18.024,83.02
272,Holtnevel,1,6epgcR9ha9OBRiFHty4yUJ,Niklas Paschburg,Tuur mang Welten,0.909,0.485,0.865,0.334,-20.117,95.012
273,Echoes,1,0ZsjfqmZ6t3YrhNS2SFDvV,Fragments,Imaginary Seas,0.953,0.575,0.936,0.113,-19.18,125.911
274,Avant Que Je N’Oublie,1,0aPAdcSQ6cpouzCEl3xaUM,REYN,Écoute La Neige Tomber,0.916,0.334,0.864,0.114,-18.408,79.91
275,By the Deep Sea,1,16Xl9H3ITIZFIYP5feQ9Sm,Federico Albanese,By the Deep Sea,0.885,0.541,0.868,0.0876,-22.624,119.916
276,Dawn,1,3cBeZh1L3646SicBYHxmnu,Niklas Paschburg,Dawn,0.914,0.38,0.896,0.133,-16.354,89.994
277,Papillon,1,4usTAQjK2gV81nIxkyoniQ,Johannes Motschmann,Waves At Boundaries,0.929,0.195,0.864,0.121,-25.408,67.969
278,We Were There,0,1uwKP0GLOEadApXpoMqynE,Federico Albanese,By the Deep Sea,0.84,0.254,0.899,0.0777,-22.392,135.145
279,La Joya,1,5nbKnom4NGsUFFSqftOZhQ,Aukai,Reminiscence,0.938,0.596,0.84,0.0978,-15.473,138.968
280,"The Desert, Pt. 2",1,6z1oSXZmkwjAUXQ60eqf9e,René Aubry,Chaos,0.798,0.612,0.889,0.114,-11.944,109.968
281,Ocean,1,3boXyamYzmzAvMbu5Rwmlv,Søndag Søndag,Ocean,0.969,0.539,0.912,0.122,-23.677,159.897
282,Oceans Apart,0,1yqM5O07lL7R6UAdK5jvrR,Ben Crosland,The Turn,0.987,0.396,0.935,0.11,-20.707,95.217
283,Fireplace,0,4EmiPEv2zeh1fS43C5y4MW,Carmelito,Fireplace,0.993,0.448,0.943,0.123,-25.422,108.495
284,Chipululu,1,7unmR4eBHHW3d4G9dCZ6YG,The Piano Lover,Chipululu,0.987,0.361,0.966,0.119,-20.316,142.138
285,We Will Never Come Back Here Again,0,7gy3ff6MIcr84VYFSzI1qJ,Tim Linghaus,Memory Sketches,0.968,0.59,0.969,0.111,-22.721,151.098
286,La Ballerine,0,4oQi1BbH2g3V3s7lluq8vy,Lucién,La Ballerine,0.987,0.454,0.927,0.0832,-23.148,119.207
287,The Cure,0,5r7SnCIKXp8AjX7sUYgBaW,Raphaël Joffres,The Cure,0.966,0.278,0.924,0.109,-18.558,202.907
288,När trollmor har lagt sina elva små troll,0,7KLODMiUhRae6TROVoo9o9,Melody Spencer,När trollmor har lagt sina elva små troll,0.996,0.657,0.957,0.111,-24.461,143.32
289,Memento,0,7rluktTepDJTxl6Jb35otq,Ben Crosland,The Turn,0.985,0.42,0.942,0.0889,-24.783,136.583
290,Alla fine insieme (Together at Last),0,5YZpHsggUWJwLirje3LvqH,Guiseppe Amilcare,Alla fine insieme (Together at Last),0.993,0.385,0.945,0.105,-30.373,85.368
291,Moving Slowly,0,4xYztiOcXXOiC1TwTsXuY3,Jacques Blanc,Moving Slowly,0.994,0.27,0.911,0.0818,-29.554,88.897
292,My Absence,0,60aQ47g6775vmbN3yMntql,Giselle Guarezi,My Absence,0.996,0.574,0.953,0.121,-24.283,68.24
293,Rondel,0,5ltbjrXShDx3IxIDc0V9pR,Crimson Memoirs,Rondel,0.987,0.338,0.942,0.11,-23.094,79.942
294,Fluctuation,0,5lCas1cqz70cDzNTOrjD8K,Vittoriano di Grazia,Fluctuation,0.996,0.3,0.921,0.0852,-38.363,64.544
295,Along Came You,0,6S89pQkAuxmU1MFUHIWuzE,Michael Lavigne,Along Came You,0.96,0.276,0.961,0.115,-26.701,52.591
296,Open to return,0,5M6q2VBF4KLF961xGLPFw9,Constance Lucas,Open to return,0.994,0.429,0.928,0.105,-28.538,72.862
297,Before We Met,0,1gB9Hvz050IuA28oxXtydl,Minik Jakobsen,Before We Met,0.995,0.354,0.947,0.11,-28.069,79.894
298,Everyday,0,3ljvffjEqf4o0gvOcvxF4O,Hans Bukowski,Everyday,0.989,0.46,0.861,0.102,-33.391,81.383
299,Lullaby,0,3U987lHXBgataMkhfi7YAL,Ben Crosland,Lullaby,0.992,0.381,0.92,0.103,-27.867,65.712
300,Nature Calling,0,1U5nro2p0IGtHE6kZqt8WG,Jonas Holmes,Nature Calling,0.985,0.569,0.866,0.111,-26.967,98.696
