,artist,album,track_name,track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
35,Mercuzio Pianist,La noyée,La noyée - Amelie soundtrack,2ZZ3SXe3q8fwzVtIrQpEKy,0.995,0.567,0.243,0.892,0.0981,-21.787,129.95,0.422
36,Melodrama,Wounded Heart,Melancholy Life Is Sad,00aNuc6lcTOMXxmgmnxPYZ,0.995,0.615,0.265,0.921,0.113,-14.302,119.956,0.684
37,Fabrizio Paterlini,Transitions,If only I could tell,3x25wW5Z2pUtfrNJbPna7o,0.989,0.312,0.00284,0.907,0.0947,-39.919,66.601,0.246
38,Andrea Vanzo,Find a Melody (Edit),Find a Melody (Edit),78hENZb4lorYnIGuASkmiq,0.983,0.59,0.0615,0.935,0.098,-25.69,121.897,0.18
39,Dustin O'Halloran,Umrika (Original Motion Picture Soundtrack),Umrika,5AREdjPjB1gYZU2aKm75I0,0.933,0.102,0.0677,0.782,0.0873,-35.073,216.429,0.0639
40,Ben Crosland,The Turn,Memento,7rluktTepDJTxl6Jb35otq,0.985,0.42,0.0284,0.942,0.0889,-24.783,136.583,0.452
41,Virginio Aiello,Easy Piano Songs,Birds,42EBfKNHKa9gXsfsSPqGaq,0.986,0.207,0.0728,0.793,0.109,-29.159,179.686,0.359
42,Melodrama,Wounded Heart,The Nature of Melancholy,7w52bbdrOWpBQK0cD0MBmn,0.986,0.453,0.153,0.95,0.11,-16.257,67.021,0.397
43,Fabrizio Paterlini,Transitions,Summer Story,14rJfKM7UnD93WcfeFX76D,0.989,0.474,0.0129,0.943,0.1,-30.834,66.392,0.0682
44,Various Artists,Ambrosia (Official Soundtrack),For Stormboy,1gLbbnyTOnx6LrCQ87c0gp,0.992,0.197,0.0473,0.861,0.0878,-29.125,123.367,0.127
45,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),Chalkboard,7bJ6xGa3RG2dQgNiK10uAv,0.889,0.432,0.109,0.772,0.0939,-15.925,92.682,0.0797
46,Jim Perkins,The North Wind (Daigo Hanada Re-work),The North Wind - Daigo Hanada Re-work,3oM82Zz63KrnYQ0ZaTTQ9l,0.964,0.181,0.0102,0.95,0.106,-31.629,137.152,0.0315
