,artist,album,track_name,track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
48,Equanimous,Horizon,Horizon,4ymBwYo9npyadEnJDZxaJ0,0.102,0.758,0.441,0.909,0.0838,-11.039,93.999,0.5
49,UTAH,Long Play,Thirty Two,4i1W0kFBlrvvyudKBUeJYi,0.279,0.671,0.485,0.915,0.324,-7.121,80.103,0.681
50,DJ Taz Rashid,Road To Shambala,Boundless Spirit,2EvwrImexrRTYTGieKjOi9,0.0174,0.569,0.699,0.826,0.131,-10.139,106.043,0.212
51,Mr OCB,Samurai,Samurai,2AXqiVRL9dhZ47IDPiGR6H,0.447,0.558,0.227,0.844,0.102,-9.879,116.28,0.261
52,Ian Wong,Stories in Motion,Victory Within,5Xop7OCwvgbxFFFiVjmmTG,0.993,0.464,0.265,0.928,0.115,-15.93,95.448,0.369
53,Vlad Gluschenko,Tropical Island,Springtime,6c8JApK6V5u1keEsStblBU,0.959,0.755,0.393,0.886,0.135,-15.665,119.94,0.411
54,Slacker Boy,From Above,Chillin',54G7nglEzYJdrIfCcur3El,0.483,0.729,0.636,0.408,0.237,-9.117,170.045,0.587
55,Lullatone,The Sounds of Spring - EP,Waking up on a Picnic Blanket,1gl2SfbVdKKp2eoFOzRS5O,0.915,0.636,0.463,0.653,0.111,-13.66,111.034,0.461
56,Emiliano Bruguera,8888Hz Powerful Meditation Frequency,8888Hz Pure Positive Energy,3LPCemLrhyO0fN25CFaOIK,0.795,0.174,0.287,0.957,0.0901,-13.378,72.626,0.156
57,CMJ,Reminiscing,Reminiscing,226lvTqQL26akUSpu69GXT,0.476,0.634,0.258,0.889,0.104,-18.844,80.011,0.416
58,Boshi,BEACH WAVES,BEACH WAVES,5kh6cDKfut5E1J8mP8dX0Y,0.934,0.604,0.197,0.935,0.108,-15.12,89.889,0.243
59,Mister Decaf,Coffee In The Park,Coffee In The Park,1a0RkdnA19BiIz8m6aFdi4,0.403,0.589,0.614,0.776,0.138,-8.81,170.314,0.376
60,TELL YOUR STORY music by Ikson™,Reverie,Reverie,3yh1jVM8xk5JgWX9bDIOzS,0.115,0.721,0.393,0.799,0.152,-13.811,125.003,0.0529
61,connor,love in the morning sun,love in the morning sun,6RWgGlkUfIb1DKR47S49T5,0.253,0.578,0.63,0.702,0.401,-6.264,93.964,0.486
62,Rising Appalachia,Soul Visions,Sunu,2ZWiYlfME5IqOOI2ba5cWg,0.501,0.641,0.69,0.624,0.151,-7.61,97.918,0.106
63,Guillaume Poncelet,88,Morning Roots,2yQkRX3wu6PWLDvq2tH4In,0.962,0.192,0.0656,0.881,0.103,-26.296,155.482,0.115
64,Sofiane Pamart,BOREALIS,Borealis,5B0LwnnmQTNMW4KLPukmdN,0.979,0.315,0.0622,0.878,0.133,-20.977,68.216,0.111
65,Christian Löffler,Pigment,Pigment - Parra for Cuva Piano Reinterpretation,4kdz93JHkbTjKhCp7jRFvz,0.973,0.386,0.0895,0.934,0.107,-25.558,124.386,0.188
66,Niklas Paschburg,Oceanic,Journey Among Worlds,17q37PWLk0twxFsUmImyxX,0.968,0.522,0.343,0.918,0.385,-16.387,90.02,0.0707
67,Wouter Dewit,Still,"Hug, Run.",4iF99Vmhr7GkgV58twAtOn,0.792,0.49,0.0721,0.775,0.293,-30.16,91.998,0.198
68,René Aubry,Chaos,Water Falls,0TsOENhOWheb6jdJ8EF6Kh,0.961,0.38,0.297,0.941,0.129,-13.807,179.847,0.0432
69,Martin Kohlstedt,Strom,AMS,5jECarJPSI4VOQ8o8eZLkR,0.937,0.254,0.142,0.932,0.089,-20.612,78.607,0.123
70,Federico Albanese,The Blue Hour,Céline,0qQmpXN9H1psb6wFGDJ0cL,0.667,0.408,0.29,0.876,0.175,-18.024,83.02,0.0393
71,Niklas Paschburg,Tuur mang Welten,Holtnevel,6epgcR9ha9OBRiFHty4yUJ,0.909,0.485,0.399,0.865,0.334,-20.117,95.012,0.409
72,Fragments,Imaginary Seas,Echoes,0ZsjfqmZ6t3YrhNS2SFDvV,0.953,0.575,0.21,0.936,0.113,-19.18,125.911,0.125
73,REYN,Écoute La Neige Tomber,Avant Que Je N’Oublie,0aPAdcSQ6cpouzCEl3xaUM,0.916,0.334,0.265,0.864,0.114,-18.408,79.91,0.099
74,Federico Albanese,By the Deep Sea,By the Deep Sea,16Xl9H3ITIZFIYP5feQ9Sm,0.885,0.541,0.21,0.868,0.0876,-22.624,119.916,0.0461
75,Niklas Paschburg,Dawn,Dawn,3cBeZh1L3646SicBYHxmnu,0.914,0.38,0.465,0.896,0.133,-16.354,89.994,0.28
76,Johannes Motschmann,Waves At Boundaries,Papillon,4usTAQjK2gV81nIxkyoniQ,0.929,0.195,0.191,0.864,0.121,-25.408,67.969,0.1
77,Federico Albanese,By the Deep Sea,We Were There,1uwKP0GLOEadApXpoMqynE,0.84,0.254,0.131,0.899,0.0777,-22.392,135.145,0.0372
78,Aukai,Reminiscence,La Joya,5nbKnom4NGsUFFSqftOZhQ,0.938,0.596,0.392,0.84,0.0978,-15.473,138.968,0.564
79,René Aubry,Chaos,"The Desert, Pt. 2",6z1oSXZmkwjAUXQ60eqf9e,0.798,0.612,0.358,0.889,0.114,-11.944,109.968,0.391
80,Søndag Søndag,Ocean,Ocean,3boXyamYzmzAvMbu5Rwmlv,0.969,0.539,0.14,0.912,0.122,-23.677,159.897,0.352
81,Ben Crosland,The Turn,Oceans Apart,1yqM5O07lL7R6UAdK5jvrR,0.987,0.396,0.0559,0.935,0.11,-20.707,95.217,0.278
82,Carmelito,Fireplace,Fireplace,4EmiPEv2zeh1fS43C5y4MW,0.993,0.448,0.023,0.943,0.123,-25.422,108.495,0.368
83,The Piano Lover,Chipululu,Chipululu,7unmR4eBHHW3d4G9dCZ6YG,0.987,0.361,0.195,0.966,0.119,-20.316,142.138,0.399
84,Tim Linghaus,Memory Sketches,We Will Never Come Back Here Again,7gy3ff6MIcr84VYFSzI1qJ,0.968,0.59,0.167,0.969,0.111,-22.721,151.098,0.399
85,Lucién,La Ballerine,La Ballerine,4oQi1BbH2g3V3s7lluq8vy,0.987,0.454,0.178,0.927,0.0832,-23.148,119.207,0.31
86,Raphaël Joffres,The Cure,The Cure,5r7SnCIKXp8AjX7sUYgBaW,0.966,0.278,0.0993,0.924,0.109,-18.558,202.907,0.0784
87,Melody Spencer,När trollmor har lagt sina elva små troll,När trollmor har lagt sina elva små troll,7KLODMiUhRae6TROVoo9o9,0.996,0.657,0.0435,0.957,0.111,-24.461,143.32,0.351
88,Ben Crosland,The Turn,Memento,7rluktTepDJTxl6Jb35otq,0.985,0.42,0.0284,0.942,0.0889,-24.783,136.583,0.452
89,Guiseppe Amilcare,Alla fine insieme (Together at Last),Alla fine insieme (Together at Last),5YZpHsggUWJwLirje3LvqH,0.993,0.385,0.0145,0.945,0.105,-30.373,85.368,0.139
90,Jacques Blanc,Moving Slowly,Moving Slowly,4xYztiOcXXOiC1TwTsXuY3,0.994,0.27,0.0229,0.911,0.0818,-29.554,88.897,0.238
91,Giselle Guarezi,My Absence,My Absence,60aQ47g6775vmbN3yMntql,0.996,0.574,0.0236,0.953,0.121,-24.283,68.24,0.245
92,Crimson Memoirs,Rondel,Rondel,5ltbjrXShDx3IxIDc0V9pR,0.987,0.338,0.0475,0.942,0.11,-23.094,79.942,0.138
93,Vittoriano di Grazia,Fluctuation,Fluctuation,5lCas1cqz70cDzNTOrjD8K,0.996,0.3,0.0183,0.921,0.0852,-38.363,64.544,0.11
94,Michael Lavigne,Along Came You,Along Came You,6S89pQkAuxmU1MFUHIWuzE,0.96,0.276,0.0787,0.961,0.115,-26.701,52.591,0.155
95,Constance Lucas,Open to return,Open to return,5M6q2VBF4KLF961xGLPFw9,0.994,0.429,0.0542,0.928,0.105,-28.538,72.862,0.142
96,Minik Jakobsen,Before We Met,Before We Met,1gB9Hvz050IuA28oxXtydl,0.995,0.354,0.0297,0.947,0.11,-28.069,79.894,0.275
97,Hans Bukowski,Everyday,Everyday,3ljvffjEqf4o0gvOcvxF4O,0.989,0.46,0.0375,0.861,0.102,-33.391,81.383,0.442
98,Ben Crosland,Lullaby,Lullaby,3U987lHXBgataMkhfi7YAL,0.992,0.381,0.0242,0.92,0.103,-27.867,65.712,0.346
99,Jonas Holmes,Nature Calling,Nature Calling,1U5nro2p0IGtHE6kZqt8WG,0.985,0.569,0.0134,0.866,0.111,-26.967,98.696,0.222
