,artist,album,track_name,track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
0,Above the Mex,Golden Cat,Golden Cat,1zvls0maQeLYZyIJwynbD1,0.674,0.81,0.625,0.879,0.0908,-7.757,88.985,0.675
1,Flat Ruy,Not enough memories,Not enough memories,2hEv9XOeDpFbiiNMUuB30I,0.73,0.791,0.354,0.716,0.103,-14.422,83.078,0.558
2,Jack Jezzro,Romance In Rio,The Girl From Ipanema,7e9oGz2KsjVkI1vRtfREAe,0.916,0.754,0.339,0.861,0.0949,-17.652,105.023,0.471
3,Glimlip,Twelve Chapters,Truly Another Classic,4Cesp17kIKOhUwQnqzdbG6,0.811,0.674,0.307,0.912,0.13,-11.304,87.982,0.168
4,Screen Jazzmaster,Caribs,Caribs,77IvFp174yhWdvqwBYkphA,0.531,0.767,0.685,0.849,0.0931,-8.74,83.0,0.491
5,Cafe Nostalgia,Cozy Mornings,Cozy Mornings,677RVrYxRXzNXOJh82obdp,0.0924,0.636,0.556,0.937,0.159,-10.975,93.04,0.472
6,Jordan Elgie,Roses,Roses,4sckDSgsxFlaUoUbExGK1n,0.858,0.759,0.617,0.726,0.252,-7.608,88.191,0.873
7,Dustin Hanusch,My Blue Heaven,My Blue Heaven,2o913EGUFcJT9mON171x4j,0.988,0.604,0.172,0.902,0.107,-16.544,85.28,0.497
8,Penguin Cafe Orchestra,Penguin Café Orchestra,The Ecstasy Of Dancing Fleas - Remastered 2008,0SrJKLmxC624x3r9j2O374,0.877,0.721,0.595,0.918,0.103,-13.564,90.557,0.962
9,Clem Beatz,Corps & âme,Corps & âme,1jAjuep6X63iC9tNs0N11D,0.189,0.49,0.588,0.497,0.104,-8.024,95.0,0.49
10,Ben Jammin' Beats,Dapper,Hotel Suite,0jAfegA8gxxJcyFMbDGeuk,0.221,0.749,0.328,0.944,0.0697,-13.106,83.224,0.502
11,DESH,get up and go,get up and go,0AmxMNsfzteEOvlMx3r5JU,0.213,0.601,0.592,0.886,0.0885,-9.945,173.986,0.614
12,Shin Giwon Piano,Pop Jazz #2 (Instrumental),Love Never Felt So Good,2gKVHMOjh7AbnPltfAZvJA,0.869,0.707,0.476,0.85,0.114,-15.113,116.962,0.46
13,Cloudchord,Alegria,Alegria,0bFqHk62KePxyVjr7XBbuI,0.692,0.474,0.677,0.867,0.432,-9.938,73.84,0.639
14,Cory Wong,Cory Wong and the Green Screen Band,Clouds,044aJ0e4iNxsKlfwFpcPI5,0.197,0.505,0.686,0.906,0.116,-10.07,113.998,0.246
15,The Dip,Won't Be Coming Back,Chanterelle,6CA7xr4RNP5GTePH7B6k1n,0.138,0.73,0.685,0.933,0.0349,-5.917,107.273,0.793
16,No Spirit,Symbiosis,Shaken Not Stirred,4DoUD7vEYRRwhrpim886UG,0.251,0.707,0.706,0.799,0.125,-8.005,94.048,0.315
17,Jon Batiste,The Late Show EP,Humanism,1sEwDSLIhmE4QdVKYuJ4PA,0.0744,0.669,0.887,0.861,0.187,-4.725,116.319,0.964
18,Lord Echo,Melodies,Cosmic Echos,4HuigiKKmUOzZCLkJ7aZXJ,0.0149,0.721,0.717,0.658,0.0775,-10.32,110.009,0.745
19,U-Nam,"The Love Vault: Future Love, Pt. 2",Soul Walkin',5hyE6gW9Ko1cV1jnMDhwWW,0.101,0.669,0.808,0.455,0.0978,-7.197,96.043,0.831
20,Dan Siegel,Along The Way: The Best Of Dan Siegel,From The Heart,2y49Z5bB6GSjMdUlmt35Cd,0.509,0.764,0.687,0.893,0.0592,-8.967,119.642,0.794
21,Theo Bishop,Newport Nights,Child's Play,4AKUeSw2wBCjZVxmUU5JwT,0.295,0.731,0.588,0.811,0.193,-7.895,113.056,0.602
22,Acoustic Alchemy,Thirty Three and a Third,The Girl With a Plan,2fDLnfDTMiaGOX5NefWiUn,0.569,0.65,0.83,0.88,0.14,-11.62,96.513,0.965
23,Stefon Harris,Sonic Creed,Chasin' Kendall,4VUuE7ZoebplIFe7HvRnSO,0.793,0.743,0.384,0.801,0.102,-12.432,105.137,0.675
24,iamalex,"Beats & Waves, Vol. 1",Turn Back Around,3TziwjLXuogwgy6BTl4V1a,0.0679,0.733,0.672,0.868,0.304,-6.609,88.058,0.75
25,John Nazarenko Trio,Darn That Dream (feat. Eric Harland & Matt Penman),Angel Eyes (feat. Eric Harland & Matt Penman),3PXCAZj9WuQF9NsQh6sE1S,0.612,0.509,0.369,0.743,0.11,-14.795,121.93,0.509
26,Cleon,Jaylis and Family,Boogaloo Pow,1bhYSo8vmBwgq3n6Su3rcc,0.0351,0.804,0.772,0.866,0.16,-6.042,119.856,0.669
27,Garth Stevenson,Voyage,Shift,2FAOGnDgpm7JqlLGIZu7zr,0.64,0.665,0.402,0.944,0.118,-16.544,93.008,0.248
28,Minihi,Recaptures,Minquiers,3fPjTevbs1gCDorMjymahc,0.815,0.608,0.44,0.885,0.121,-12.773,98.967,0.112
29,Clarence Reed,Endless,Tumbling,387Vd8kBUNPLys6SVOTjIm,0.975,0.474,0.141,0.886,0.135,-19.425,79.978,0.114
30,Magnus Ringblom,Ambivalent Thoughts,Free as Can Be,7DyP2GLNXraWr4NT7ejfhu,0.462,0.616,0.469,0.942,0.284,-10.32,99.968,0.0446
31,Peter Sandberg,Cranberry Garden,Cranberry Garden,2SwEEi5KvkPTmW2YNHKeBk,0.968,0.496,0.277,0.892,0.0865,-20.71,176.03,0.672
32,Martin Gauffin,Flourishing Views,Flourishing Views,5KhrmGLLiJ6ouA2G4b60S1,0.895,0.649,0.284,0.896,0.113,-17.803,135.013,0.352
33,Paul Alan Morris,Meadowlark,Meadowlark,6rJtXHtsqmmhf7hREtv6w7,0.888,0.462,0.24,0.259,0.144,-16.249,89.751,0.407
34,Martino Vergnaghi,Amichevolmente Restare,Amichevolmente Restare,6heAUouflwGdHCWckIfUR8,0.979,0.526,0.195,0.937,0.09,-17.058,62.105,0.217
35,Jimmy Wahlsteen,Broadsides,English Garden,3Esa3QaNCDzr7x5yjIH58q,0.799,0.664,0.594,0.82,0.143,-8.039,108.924,0.55
36,Mike Beating,Turquoise Shell,Turquoise Shell,3i0pSLBzYPBkFpIU9PPgrh,0.858,0.435,0.33,0.804,0.149,-14.799,179.843,0.0585
37,Frances The Mute,Paper Bag,Paper Bag,0feI2qZLlaapheeJeznYwZ,0.959,0.834,0.456,0.937,0.114,-10.803,90.012,0.429
38,Clarence Reed,Near Light,Up Up Away,6CqceOgk78dlboGgHsYxlD,0.947,0.567,0.229,0.885,0.0766,-21.033,139.985,0.0479
39,calle de phnk,nightcap,nightcap,56YXAsG8CaTI1XCaHlpLIw,0.699,0.746,0.473,0.65,0.143,-11.555,83.013,0.515
40,Holly Jones,Hummingbird,Hummingbird,0hs2c9NuhwK60vHOuoK8ls,0.986,0.452,0.203,0.915,0.0943,-19.019,118.885,0.136
41,Toshdy,Montego,Montego,3t3KBPlKEIxUtk3h0DNQJn,0.854,0.418,0.287,0.914,0.0988,-9.749,76.948,0.687
42,Ayla Schafer,Dive into Water,Vuela Con el Viento,3FeUfu0y2ZkG3pzCYkYZkh,0.86,0.677,0.211,9.93e-05,0.0936,-12.873,142.056,0.539
43,Dusty Decks,On the Keys of Steel,Poetic Wax,6ueWeJJyq1rMkdNitaL7a6,0.415,0.707,0.506,0.916,0.118,-7.686,193.982,0.894
44,Adrien de la Salle,Plume (Folk Guitar),Plume - Folk Guitar,0WQLQbXpyK87377L7WcZiB,0.891,0.522,0.221,0.85,0.0905,-15.52,131.85,0.0596
45,Aykanna,Livelight ~ Yoga & Meditation Music,Beautiful Day (Bonus Track),7MEzIneZFUiNWlwovA9HcZ,0.713,0.828,0.486,0.0,0.0969,-5.868,117.921,0.446
46,Clarence Reed,Now Rise,Never Say No,2MEBBzfsWQwjqWDU8WzdT6,0.933,0.703,0.438,0.887,0.123,-17.253,165.029,0.259
47,Beauvois,Dimensions,Neptune,6tDepHpT6yyQzdYMyevyy4,0.752,0.475,0.416,0.0158,0.0868,-17.558,103.858,0.0591
