,artist,album,track_name,track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
43,Pity Party (Girls Club),Heavy Heart,Heavy Heart,1AW3Kj7OuOv9o6YxwcpvzM,0.453,0.649,0.617,0.000722,0.129,-9.693,130.002,0.138
44,Strawberry Guy,Taking My Time to Be,Intermission,4hm33jVolpa22nzhlY72jD,0.261,0.444,0.418,0.823,0.112,-7.219,98.958,0.236
45,Men I Trust,Untourable Album,Serenade of Water,5tt7O3V5vwf8ltkr1Wgxrf,0.848,0.647,0.414,0.903,0.112,-10.816,79.503,0.711
46,Cigarettes After Sex,Cigarettes After Sex,John Wayne,6TWcSqCntZhH5vyc35kkob,0.343,0.441,0.465,0.884,0.0982,-8.389,123.933,0.173
47,Vansire,The Modern Western World,Night Vision,1MwPvniPtqPkXwtQDFiJdb,0.535,0.688,0.505,0.482,0.217,-9.16,121.046,0.767
48,Steve Lacy,The Lo-Fis,When I,4QUsmmXmINYXwh7UsiMX2j,0.0292,0.824,0.68,0.835,0.0676,-10.422,125.961,0.67
49,Matt Maltese,Krystal,Intolewd,79rfskJwK9NLN3p5cdccth,0.91,0.759,0.203,0.194,0.104,-16.991,85.092,0.637
50,陳婧霏,陳婧霏,生活在別處,1sTuEGqpRCGlRADyBv61z0,0.574,0.302,0.502,0.000687,0.131,-8.586,207.782,0.392
51,my little airport,跟你開玩笑,你把我的,6Jz3t1FJQISyASFyBEioWL,0.377,0.586,0.331,0.809,0.0891,-11.796,101.956,0.179
52,The Chairs,Maybe Maybe,Maybe Maybe,55e4I1RfHjQT1XAf7glB2J,0.723,0.675,0.556,0.0057,0.12,-8.472,90.017,0.615
53,Di Ma,孤岛,Outro,7vkEEoH4YmeKMO44f47nP8,0.868,0.531,0.0852,0.0,0.102,-14.718,139.786,0.547
54,宋柏緯,雲的距離,雲的距離,6645VYAAcaBWlVYUmiUVQm,0.662,0.706,0.371,9.68e-05,0.116,-9.355,80.022,0.378
55,陳婧霏,Blueberry Baby,Blueberry Baby,6H9yzuV2014o0FHahstZfY,0.854,0.381,0.449,0.176,0.134,-10.219,124.847,0.316
56,陳粒,世界正中,世界正中,1Th5cvvMIyYpuJaRHoKWAP,0.338,0.688,0.512,2.8e-05,0.102,-9.102,119.9,0.325
57,my little airport,SABINA之淚,詩歌舞街,45rZ0CtRR470rAOFiWJNeM,0.732,0.641,0.479,0.0598,0.115,-15.395,121.974,0.301
58,The Chairs,Archie's Funeral,Archie's Funeral,4zCGD3HKuzvRTNDCYC9ldn,0.77,0.416,0.244,0.0155,0.0848,-13.038,137.28,0.151
59,The Fur.​,Town,Little Song,5lnnQwPdbF3uJioNX9Z5Gw,0.739,0.736,0.175,0.00629,0.672,-14.603,79.981,0.304
60,陳婧霏,陳婧霏,人間指南,18n1uqpcYq3w663Z0Cquqs,0.721,0.557,0.526,0.176,0.346,-8.956,90.021,0.604
61,新裤子乐队,Sex Drugs Internet,总有一天我会欺骗你,07UuCZbEgcPXqpDpVDQiQF,0.174,0.661,0.72,0.000278,0.307,-8.658,130.017,0.767
62,陳粒,如也,走马,0cMCCfgXNvzpn9AgFJib76,0.892,0.608,0.424,0.00238,0.0909,-8.638,139.748,0.218
63,my little airport,跟你開玩笑,循環的夜,47jGYuKiZdYnRvnHTI1vYH,0.00199,0.553,0.536,0.419,0.0882,-10.174,133.994,0.748
64,The Chairs,夏日最美的三十張拍立得相片,夏日最美的三十張拍立得相片,0q2aQjmx78thNrEACINk4Z,0.931,0.645,0.203,0.0,0.0916,-10.662,86.058,0.464
65,陳婧霏,積極向下,積極向下,5EYCb402em5sZ1SPz6kbrz,0.185,0.587,0.713,0.0225,0.438,-6.609,139.989,0.599
66,VOOID,VOOID,World War Zero,29OZwEjRD6zumBWbVxROcx,0.98,0.364,0.0971,0.0745,0.0934,-14.266,164.471,0.41
67,The Life Journey,来福胶泥,Lonely Day,7DclVCm9G4fCYszIpOh4u5,0.559,0.741,0.543,0.693,0.117,-8.894,117.039,0.508
68,陳粒,如也,祝星,4xX2Km7PorwBkzXuYzoiLS,0.0834,0.363,0.633,0.000952,0.22,-4.767,120.185,0.522
69,my little airport,寂寞的星期五,我們一起離開吧,5HtnfNpC6FoeKIswjbML92,0.117,0.272,0.486,0.563,0.0873,-9.742,210.106,0.725
70,陳婧霏,晚風,晚風,6XppqdT4iqWSlQoCQUtD6v,0.941,0.365,0.218,0.00716,0.109,-15.058,185.104,0.424
71,The Chairs,LOVELY SUNDAY,日常的鏡頭,1eV8d10G3S0YbK5Zn0Q20I,0.61,0.625,0.336,0.000686,0.0879,-11.286,105.923,0.235
72,福禄寿,我用什么把你留住,马,2IjLtXQKaA9dTcnPwQJoeu,0.788,0.503,0.31,0.0,0.231,-11.852,100.076,0.237
73,宋冬野,安和桥北,给抱着盒子的姑娘,501rWkDIlzIPRJEaF19p30,0.893,0.333,0.297,0.705,0.103,-19.169,135.608,0.493
74,陳粒,如也,奇妙能力歌,3mI8CEKN4jBiq41WHaOPOg,0.903,0.583,0.298,0.00157,0.0925,-10.511,109.805,0.218
75,陳婧霏,陳婧霏,舞舞舞,4nKJxWtqTI9begn3B3dhGV,0.693,0.529,0.487,0.212,0.105,-7.168,93.919,0.25
76,my little airport,SABINA之淚,QUEEN,5PimlePLQd8xdf7uKccHqS,0.699,0.453,0.38,0.0136,0.145,-13.896,178.211,0.396
77,The Chairs,Real Love Is...,給 來自月球的L,1AlOP5NfsY8pXsT9C2qXH0,0.803,0.477,0.284,0.00128,0.0861,-11.352,139.921,0.25
78,Our Shame,理查,理查,6lMz5CHf0ziuvCpMklEZ4C,0.485,0.678,0.433,0.075,0.113,-9.461,119.972,0.146
79,刘森,华北浪革,爱人穿过你,3pxE2CtlvqHfVs4f09tBIX,0.905,0.612,0.226,0.145,0.108,-14.193,119.967,0.352
80,陳婧霏,梦里水乡(青春重置计划5 请回答1999),梦里水乡,0txcEBZ4HWYYUTOG8DooyF,0.829,0.53,0.446,5.7e-05,0.0836,-8.429,123.861,0.403
81,陳粒,如也,七楼,39AAqvsYdQglthnEfoJPM7,0.791,0.61,0.263,0.0,0.136,-8.779,134.928,0.167
82,my little airport,SABINA之淚,SABINA之淚,0bVAhqMaAOEqF9ZmpBXdII,0.601,0.551,0.346,0.0131,0.107,-14.207,159.929,0.459
83,The Chairs,Shangri-La Is Calling,進入下一層新的夢之前,2LmNW7kMeYp2wUqMpIAge6,0.864,0.436,0.172,0.0,0.141,-13.827,173.038,0.294
84,Matt Lv,Fresh Soul,夏夜晴朗的晚上,6wiN6mgr0WsJk0lMcfl8zu,0.611,0.596,0.418,0.000218,0.125,-9.311,79.996,0.258
85,陳婧霏,陳婧霏,深藍,54ZstdCX7cfTl5zBLLCn2Z,0.62,0.577,0.354,0.00105,0.103,-9.683,133.98,0.116
86,和平饭店,今年一定带你去看海,今年一定带你去看海,5No9vr77a0AACobnwSJu9Z,0.101,0.368,0.504,3.52e-05,0.676,-7.494,185.988,0.109
87,陳粒,小梦大半,自渡,27fbYFKVb7wbw3kgygxB4T,0.913,0.365,0.206,0.000355,0.107,-16.254,122.999,0.0399
88,my little airport,跟你開玩笑,LUNCH,4KPYzvCbNRFCljGyqyhlQb,0.279,0.473,0.373,0.823,0.109,-12.359,67.94,0.314
89,Osean,Sundial,I’m here,4R96pnRtpAaAw0cadniXTx,0.861,0.455,0.261,0.0366,0.125,-11.621,61.031,0.22
90,陳婧霏,I Found Out Too Late,I Found Out Too Late,76wzhx8F2JZOZwAJXSahUU,0.811,0.547,0.612,0.0681,0.12,-8.148,170.021,0.453
91,The Chairs,LOVELY SUNDAY,手捧一杯酒,5k41tbPUJSYqw3anAFmAw3,0.217,0.616,0.624,0.0843,0.315,-8.744,100.033,0.696
92,和平饭店,隐藏菜单,失眠症,554mXEZMcxyk8k2kC58rmr,0.00035,0.632,0.862,0.18,0.221,-6.017,133.021,0.836
93,陳粒,小梦大半,桥豆麻袋,6eAMd6ZcwdcQJJFH2MVqbN,0.696,0.831,0.201,0.00425,0.0995,-12.744,109.979,0.554
94,my little airport,你說之後會找我,Hey Hey Baby,2Mh7XNWkAXgEjBXSskgUyD,0.383,0.581,0.457,0.00333,0.0999,-13.459,89.983,0.67
95,陳婧霏,陳婧霏,消亡史,7LOKYieAwZPjyjydCmxqan,0.914,0.276,0.426,0.00338,0.154,-7.895,139.863,0.147
96,Layton Wu,夏夜晚風,夏夜晚風,4PYzRKJF5qJUD2JAstC5p4,0.814,0.699,0.373,0.0838,0.114,-10.781,76.988,0.272
97,The Chairs,Shangri-La Is Calling,也許是你拯救了我,4QoGa1J42k8YWVUaVM5ETC,0.55,0.549,0.456,0.399,0.102,-8.574,141.974,0.16
98,黃小楨,No Budget,December Night,30QQ26PDR0uFTV2Q0bv03G,0.875,0.461,0.177,6.5e-06,0.112,-12.317,147.862,0.404
99,陳粒,如也,绝对占有相对自由,0nTLPQIE2i1R3Sfv14HMcW,0.746,0.645,0.493,0.0025,0.0892,-9.352,115.01,0.235
