,artist,album,track_name,track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
0,Men I Trust,Oncle Jazz,Oncle Jazz,204t5SErksNRHRhU52g5JF,0.535,0.712,0.308,0.816,0.0813,-16.776,139.995,0.246
1,Orion Sun,A Collection of Fleeting Moments and Daydreams,Mirage,1w327AHTCoChRIkJUprAnV,0.87,0.683,0.468,0.673,0.108,-10.058,117.095,0.47
2,salvia palth,melanchole,(dream),39iczvfNkZstM8KY8dNDFC,0.926,0.328,0.301,0.825,0.118,-13.283,147.398,0.167
3,Vansire,Angel Youth,Précis,3s9YtjSkxeeriM92mASyoO,0.96,0.532,0.348,0.757,0.103,-13.284,80.998,0.301
4,Luna Li,jams EP,cloud castle,6cSkQRxoJt6FHGrWVIGDTJ,0.04,0.556,0.563,0.9,0.245,-6.731,83.9,0.349
5,Men I Trust,Untourable Album,Ante Meridiem,1Ktm8giomJp1Fb8EI39oHn,0.818,0.611,0.296,0.941,0.12,-15.318,138.01,0.385
6,Macabre Plaza,Remember Me? EP from Mp,Middle of Nowhere,52Td1R2HmvP5gevSgUaifx,0.0562,0.611,0.718,0.927,0.194,-6.064,105.788,0.57
7,Acid Ghost,Vacation II,Sandy Kim,70JkATjg7LzZ9HA22SmmcK,0.885,0.658,0.629,0.909,0.152,-7.837,132.986,0.625
8,Loving,If I Am Only My Thoughts,January,2UxxDidNYPuTLiMNKBHMiK,0.834,0.539,0.621,0.922,0.256,-7.281,106.14,0.696
9,Vansire,Angel Youth,From the Subway Train,0qOCy2LqvdkMora7eZsJhQ,0.527,0.392,0.429,0.015,0.217,-10.279,72.104,0.105
10,Men I Trust,Hard to Let Go,Hard to Let Go,7lKN7pik3CelVWHWGp6DfB,0.765,0.806,0.277,0.874,0.12,-14.927,141.903,0.558
11,Luna Li,jams EP,mirror,20jwGZMmI7Cl9Kd5O8yJrQ,0.0347,0.454,0.591,0.774,0.142,-7.338,69.816,0.395
12,Macabre Plaza,Out With the Old in With the Taboo,Till the Wheels Fall Off,29ac5I0B0NierBqLwJgMkc,0.0109,0.575,0.742,0.84,0.136,-10.767,120.028,0.788
13,Tokyo Tea Room,If You Love Her,If You Love Her,1MaDw1BQ797k8j7xXnH486,0.178,0.598,0.587,0.641,0.153,-8.088,90.062,0.469
14,Pity Party (Girls Club),Hard Times / Bad Trips,I hope that you think of me,42LY6qYxu3L6nJ7Dt72gNy,0.0625,0.845,0.455,6.41e-05,0.108,-9.857,105.0,0.65
15,Men I Trust,Untourable Album,Sugar,2joEpsXflccZD0ZwKEdz5m,0.647,0.823,0.461,0.327,0.14,-12.75,114.026,0.798
16,Crumb,Jinx,Cracking,3VwgtTh9D0CubY32jdhI5U,0.39,0.635,0.385,0.783,0.0993,-11.621,121.951,0.117
17,Luna Li,jams 2,daydream,1t0faf8iw1XbaJ0yznpPcB,0.349,0.44,0.454,0.973,0.412,-9.889,86.809,0.248
18,Macabre Plaza,An Old Smile,A Devil's Touch in the Midwest,0W2CHYtNLuEBJCCuqOona7,0.754,0.482,0.645,0.847,0.102,-15.798,159.287,0.875
19,Vansire,After Fillmore County,Précis Two,5LiO40bi3foQNkIDg4PlGV,0.602,0.607,0.516,0.706,0.599,-11.963,121.485,0.967
20,Men I Trust,"Say, Can You Hear","Say, Can You Hear",7JvjjlZ5R1I1xRDsEkPuJ7,0.78,0.623,0.403,0.763,0.11,-14.1,157.912,0.49
21,No Vacation,Estrangers,Estrangers,6ZyJiCgtPz0gJrhubGLkud,0.31,0.567,0.728,0.875,0.218,-6.421,122.018,0.473
22,"Dream, Ivory",welcome and goodbye,welcome and goodbye,00RLNHc2jkEjUoCUlFgPVT,0.0194,0.584,0.717,0.756,0.0739,-5.175,140.031,0.659
23,Luna Li,Duality,Misery Moon,5EwRVuWJpNNMYM4UkT561o,0.819,0.797,0.313,0.23,0.108,-12.42,119.78,0.432
24,Macabre Plaza,Out With the Old in With the Taboo,Abandoned Plaza,49Q4EjrGxgllOt6jXJPfeI,0.00853,0.513,0.93,0.78,0.0912,-7.575,154.038,0.959
25,Men I Trust,Untourable Album,Always Lone,5zYDxzEPmchIgpULm0QgJA,0.7,0.587,0.507,0.757,0.165,-10.726,83.406,0.452
26,Steve Lacy,C U Girl,C U Girl,6FBzhcfgGacfXF3AmtfEaX,0.663,0.414,0.473,0.0523,0.128,-8.911,100.0,0.409
27,Cigarettes After Sex,Pistol,Pistol,2nD9CUfMMUVxL0UyFs8fGG,0.519,0.651,0.441,0.708,0.0959,-11.74,109.979,0.373
28,Liana Flores,recently,rises the moon,51Grh1RyUDcMBbpuyUIUHI,0.947,0.483,0.129,0.145,0.106,-20.149,137.35,0.203
29,Luna Li,jams EP,2516,0R6sz2EUOMSM3qaZHEpG63,0.0551,0.514,0.693,0.824,0.195,-5.562,89.984,0.771
30,Men I Trust,Oncle Jazz,All Night,0XvoMOI25j4wODyk8nuANS,0.732,0.795,0.208,0.899,0.0893,-13.354,146.003,0.608
31,Vansire,The Modern Western World,Think it Through,6Vb1cXiRAFJRNQy0pTNsRE,0.549,0.658,0.658,0.0897,0.109,-10.089,158.494,0.357
32,Steve Lacy,Some,Some,4riDfclV7kPDT9D58FpmHd,0.00548,0.784,0.554,0.254,0.0995,-6.417,104.01,0.634
33,Cigarettes After Sex,You're All I Want,You're All I Want,4nvLuqwTOZdEJI1fcHXv8h,0.363,0.233,0.471,0.828,0.113,-10.947,182.161,0.277
34,Haley Heynderickx,I Need to Start a Garden,The Bug Collector,5nVE45ithgyVocZp5XLAk6,0.777,0.538,0.419,0.329,0.0967,-9.705,99.622,0.529
35,Men I Trust,Untourable Album,Organon,7uKoqhOj7sfF1GowMuAc6I,0.831,0.6,0.193,0.901,0.102,-15.751,96.977,0.0386
36,Hector Gachan,Untitled '91,Flook,4uJygJrv9ZRqkxfDijPxod,0.732,0.701,0.508,0.796,0.413,-11.643,109.363,0.21
37,Brad stank,Eternal Slowdown,Slowdown,2yp4xIO3jBzsU3aK3pS4dv,0.499,0.693,0.259,0.631,0.338,-13.946,95.955,0.162
38,The Holydrug Couple,Moonlust Demos,Lunes 1 De Abril,0BaFtki3CupqritofvTRSj,0.00857,0.451,0.871,0.908,0.166,-4.716,120.892,0.595
39,Vansire,Metamodernity,Metamodernity,4RGWHfQeJftd5XrP8JUgFj,0.389,0.823,0.544,0.165,0.108,-10.077,121.968,0.826
40,Men I Trust,Forever Live Sessions,Numb (Garage Session),7BkMaeJDM9G257DFTvjlCX,0.892,0.565,0.317,0.865,0.0789,-14.307,133.931,0.389
41,The Marías,"Superclean, Vol. II",Loverboy,3XCpEFU4uXsBq5WmVQQKC9,0.808,0.652,0.152,0.422,0.117,-18.704,130.47,0.0742
42,Kate Bollinger,Look at it in the Light,Yards / Gardens,3PphHkiVdhRaO1EWH6ZWqZ,0.268,0.8,0.544,0.617,0.11,-7.52,107.984,0.745
